stop_I;lat;lon;name
105;52.528.318;1.332.026;Wiebestr./Huttenstr.  
106;52.527.903;13.323.637;Reuchlinstr.  
107;52.529.103;13.315.981;Neues Ufer  
108;52.525.756;1.330.984;Ilsenburger Str.  
109;52.525.797;13.314.261;Goslarer Platz  
110;52.538.399;13.360.963;Fennbrücke  
111;52.536.186;13.343.842;S+U Westhafen  
112;52.538.854;13.363.616;Am Nordhafen  
113;52.530.032;13.368.765;Döberitzer Str.  
114;52.525.768;13.365.229;Lehrter Str./Invalidenstr.  
115;52.536.743;13.361.222;Friedrich-Krause-Ufer  
116;52.527.108;13.330.436;Turmstr./Waldstr.  
117;52.527.343;13.328.748;Turmstr./Beusselstr.  
118;52.530.859;13.328.516;Wittstocker Str.  
119;52.535.297;13.356.402;Quitzowstr.  
120;52.532.232;13.341.423;U Birkenstr.  
121;52.526.367;13.351.411;Wilsnacker Str.  
122;52.532.461;13.350.537;Stendaler Str.  
123;52.535.332;13.358.039;Perleberger Brücke  
124;52.526.254;13.345.514;Turmstr./Lübecker Str.  
125;52.526.688;1.335.481;Turmstr./Rathenower Str.  
126;52.529.192;13.344.012;Stromstr.  
127;52.529.657;13.352.912;Birkenstr./Rathenower Str.  
128;52.527.038;13.364.163;Seydlitzstr.  
129;52.530.285;13.362.436;Poststadion  
130;5.253.339;13.359.644;Kruppstr.  
131;52.531.029;13.347.679;Havelberger Str.  
132;52.518.114;13.342.171;U Hansaplatz  
133;52.519.954;13.347.104;S Bellevue  
134;52.513.966;1.333.624;S Tiergarten  
135;52.525.941;13.341.422;U Turmstr.  
136;52.518.602;13.339.578;Bachstr.  
137;52.523.933;13.329.898;Alt-Moabit/Gotzkowskystr.  
138;52.520.551;13.335.733;Solinger Str.  
139;52.526.066;13.339.172;Rathaus Tiergarten  
140;52.524.685;1.333.493;Ottostr.  
141;52.526.303;13.341.993;U Turmstr.   [Bus Turmstr.]
142;52.525.815;13.343.025;U Turmstr.   [Bus Stromstr.]
143;52.525.513;1.334.194;U Turmstr.   [Bus Alt-Moabit]
144;52.522.225;13.331.511;Zinzendorfstr.  
145;52.525.046;13.369.391;S+U Berlin Hauptbahnhof (tief)
146;52.525.851;1.336.893;S+U Berlin Hauptbahnhof
147;52.524.545;13.349.587;Kirchstr./Alt-Moabit  
148;52.523.696;13.357.075;Alt-Moabit/Rathenower Str.  
149;52.524.993;1.334.577;Kleiner Tiergarten  
150;52.520.072;13.355.667;Paulstr.  
151;52.516.719;13.354.209;Schloss Bellevue  
152;52.517.602;1.336.337;Haus der Kulturen der Welt  
153;52.519.912;1.337.346;U Bundestag  
154;52.524.932;13.366.058;Clara-Jaschke-Str.  
155;52.524.006;13.353.549;Spenerstr.  
156;52.524.215;13.361.983;Lesser-Ury-Weg  
157;5.252.314;13.361.655;Lüneburger Str.  
158;52.515.147;13.350.183;Großer Stern  
159;5.251.772;13.376.485;Reichstag/Bundestag  
160;5.251.779;13.370.447;Platz der Republik  
161;52.509.597;13.351.412;Nordische Botschaften/Adenauer-Stiftung  
162;52.509.235;13.332.621;Hertzallee  
163;52.506.571;13.345.678;Budapester Str.  
164;52.507.624;13.348.671;Corneliusbrücke  
165;52.503.107;13.349.931;Schillstr.  
166;52.504.904;13.351.562;Lützowplatz  
167;5.250.971;13.361.947;Tiergartenstr.  
168;5.250.574;13.363.297;Gedenkstätte Dt. Widerstand  
169;52.507.169;13.356.271;Köbisstr.  
170;52.506.732;13.357.466;Hiroshimasteg  
171;52.504.433;13.343.963;Bayreuther Str.  
172;52.499.814;13.362.819;U Kurfürstenstr.  
173;52.503.426;13.366.009;Lützowstr./Potsdamer Str.  
174;52.505.951;13.368.311;Potsdamer Brücke  
175;52.510.084;1.336.844;Philharmonie  
176;52.508.619;13.370.751;Philharmonie Süd  
177;52.509.297;13.374.307;Varian-Fry-Str.  
178;5.250.381;13.374.725;U Mendelssohn-Bartholdy-Park  
179;52.502.337;13.377.757;Schöneberger Brücke  
180;52.507.568;13.369.186;Kulturforum  
181;52.499.461;13.359.892;Frobenstr.  
182;52.565.356;13.391.545;S Wollankstr./Sternstr.  
183;52.558.659;13.386.246;Prinzenallee/Soldiner Str.  
184;52.560.146;13.370.529;Residenzstr./Reginhardstr.  
185;52.560.086;13.381.056;Soldiner Str./Koloniestr.  
186;52.567.548;13.384.653;Verlängerte Koloniestr.  
187;52.560.502;13.387.764;St.-Elisabeth-Kirchhof  
188;52.548.641;13.388.377;S+U Gesundbrunnen Bhf  
189;52.541.934;13.393.163;U Voltastr.  
190;52.531.677;133.888;S Nordbahnhof  
191;52.539.774;13.401.805;Wolliner Str.  
192;52.539.237;13.387.137;Usedomer Str./Feldstr.  
193;52.539.088;13.398.983;Ruppiner Str.  
194;52.533.364;13.387.497;S Nordbahnhof/Gartenstr.  
195;52.537.997;13.396.236;U Bernauer Str.  
196;52.544.307;13.399.179;Lortzingstr.  
197;52.538.425;13.384.282;Gartenplatz  
198;52.534.956;13.385.867;Theodor-Heuss-Weg  
199;52.536.525;13.383.824;Gartenstr./Feldstr.  
200;52.535.701;13.390.489;Gedenkstätte Berliner Mauer  
201;52.550.088;1.339.062;Jülicher Str.  
202;52.542.615;13.399.434;Demminer Str.  
203;52.546.046;13.398.084;Gleimstr.  
204;52.545.957;13.394.927;Swinemünder Str.  
205;52.545.017;13.390.799;Rügener Str.  
206;52.547.394;13.381.999;Humboldtsteg  
207;52.555.362;13.390.801;Grüntaler Str.  
208;52.539.919;13.389.473;Usedomer Str.  
209;52.544.745;13.378.731;S Humboldthain  
210;52.539.899;13.370.399;U Reinickendorfer Str.  
211;52.544.674;13.370.194;Nettelbeckplatz/S Wedding  
212;52.541.528;13.369.418;U Reinickendorfer Str./Fennstr.  
213;52.550.146;13.378.001;Brunnenplatz  
214;52.543.261;13.375.722;Gerichtstr./Hochstr.  
215;52.547.596;13.373.897;Wiesenstr.  
216;52.548.217;13.369.169;Schererstr.  
217;52.542.206;13.349.539;U Amrumer Str.  
218;52.546.497;13.359.401;U Leopoldplatz  
219;52.550.473;13.351.975;U Seestr.  
220;52.542.735;13.366.065;S+U Wedding  
221;52.546.223;13.344.061;Seestr./Amrumer Str.  
222;52.544.482;1.336.267;Gerichtstr.  
223;5.254.785;13.356.582;Rathaus Wedding  
224;52.544.057;13.355.065;Luxemburger Str.  
225;52.541.605;13.354.149;Samoastr.  
226;5.254.107;1.335.767;Kiautschoustr.  
227;52.548.686;13.348.706;Antwerpener Str.  
228;52.551.527;1.336.737;U Nauener Platz  
229;52.556.941;1.337.329;U Osloer Str.  
230;52.552.258;13.381.842;U Pankstr.  
231;52.555.939;13.383.668;Osloer Str./Prinzenallee  
232;52.556.532;13.377.553;Drontheimer Str.  
233;52.549.418;13.364.002;Maxstr.  
234;52.554.021;13.371.709;Exerzierstr.  
235;52.553.263;13.378.173;Uferstr.  
236;52.560.332;13.376.935;Ritterlandweg/Soldiner Str.  
237;5.255.802;13.372.497;U Osloer Str.   [Bus Tromsöer Str.]
238;52.542.331;1.333.694;Sylter Str.  
239;52.543.497;13.338.744;Virchow-Klinikum  
240;52.556.673;13.341.018;U Rehberge  
241;52.560.865;13.333.507;U Afrikanische Str.  
242;52.552.685;13.336.886;Otawistr.  
243;52.554.918;13.345.978;Glasgower Str.  
244;52.563.365;13.342.904;Londoner Str.  
245;52.553.509;13.346.598;Türkenstr.  
246;52.558.566;13.351.619;Bristolstr.  
247;52.564.257;13.338.713;Septimerstr.  
248;52.556.934;13.334.656;Nachtigalplatz  
249;52.550.775;13.338.892;Transvaalstr.  
250;52.556.985;13.365.608;Louise-Schroeder-Platz  
251;52.562.091;13.353.763;Holländerstr./Aroser Allee  
252;52.561.952;13.359.584;Brienzer Str.  
253;52.555.067;13.365.962;Iranische Str.  
254;52.553.699;13.358.296;Osram-Höfe  
255;52.504.542;13.382.082;S Anhalter Bahnhof  
256;52.506.677;13.390.869;U Kochstr./Checkpoint Charlie  
257;52.497.778;13.391.766;U Hallesches Tor  
258;52.506.966;13.398.375;Lindenstr./Oranienstr.  
259;52.506.556;13.379.671;Abgeordnetenhaus  
260;52.497.978;13.389.269;Mehringbrücke  
261;52.500.417;13.387.446;Willy-Brandt-Haus  
262;52.495.788;13.396.621;Blücherstr.  
263;52.505.894;13.386.367;Wilhelmstr./Kochstr.  
264;52.506.888;13.393.541;Charlottenstr.  
265;52.506.179;1.340.184;Waldeckpark  
266;52.505.158;13.405.328;Alexandrinenstr.  
267;52.503.547;13.395.645;Jüdisches Museum  
268;5.250.042;13.394.809;Franz-Klühs-Str.  
269;52.501.419;13.388.611;Wilhelmstr./Franz-Klühs-Str.  
270;52.503.743;13.410.953;U Moritzplatz  
271;52.499.051;13.417.753;U Kottbusser Tor  
272;52.498.277;13.406.537;U Prinzenstr.  
273;52.501.651;13.409.281;Prinzenstr./Ritterstr.  
274;52.500.242;13.414.346;Segitzdamm  
275;52.502.248;13.415.736;Oranienplatz  
276;52.499.897;13.418.384;U Kottbusser Tor   [Bus Adalbertstr.]
277;52.499.449;13.416.765;U Kottbusser Tor   [Bus Reichenbg. Str.]
278;52.498.308;13.419.011;U Kottbusser Tor   [Bus Kottbusser Str.]
279;52.499.039;13.428.474;U Görlitzer Bahnhof  
280;52.501.151;13.441.796;U Schlesisches Tor  
281;52.501.288;13.419.298;Adalbertstr./Oranienstr.  
282;52.505.638;13.432.016;Manteuffelstr./Köpenicker Str.  
283;52.501.175;13.427.925;Waldemarstr./Manteuffelstr.  
284;52.499.473;13.431.919;Lausitzer Platz  
285;52.507.218;13.428.444;Bethaniendamm  
286;52.502.894;13.421.824;Waldemarstr./Adalbertstr.  
287;52.502.206;13.424.423;Mariannenplatz  
288;52.503.496;13.430.017;Wrangelstr.  
289;52.504.479;13.434.939;Eisenbahnstr.  
290;52.500.055;13.443.955;Falckensteinstr.  
291;52.500.274;13.422.918;Heinrichplatz  
292;52.497.015;13.449.304;Heckmannufer  
293;5.249.354;13.437.277;Glogauer Str.  
294;52.495.572;13.430.482;Ohlauer Str.  
295;52.498.217;13.447.267;Taborstr.  
296;52.497.648;13.431.285;Spreewaldplatz  
297;52.491.255;13.395.388;U Gneisenaustr.  
298;52.498.431;13.395.851;Zossener Brücke  
299;52.489.386;13.393.827;Marheinekeplatz  
300;52.486.252;1.339.442;Jüterboger Str.  
301;52.490.389;13.400.219;Gneisenaustr./Baerwaldstr.  
302;52.493.913;13.403.188;Urbanstr./Baerwaldstr.  
303;52.494.339;13.400.639;Tempelherrenstr.  
304;52.493.182;13.422.247;U Schönleinstr.  
305;52.489.222;13.407.691;U Südstern  
306;52.493.367;13.406.792;Geibelstr.  
307;52.492.043;13.412.345;Körtestr.  
308;52.487.559;13.418.974;Hasenheide  
309;52.488.341;13.412.992;Fichtestr.  
310;52.490.972;13.416.154;Graefestr.  
311;52.495.194;13.404.347;Wilmsstr.  
312;52.495.537;13.420.703;Kottbusser Brücke  
313;5.249.582;13.389.348;Obentrautstr./U Mehringdamm  
314;52.493.578;13.388.158;U Mehringdamm  
315;52.484.981;13.386.356;U Platz der Luftbrücke  
316;52.499.591;13.374.299;U Gleisdreieck  
317;52.498.947;13.383.262;U Möckernbrücke  
318;52.493.638;13.383.831;Yorckstr./Großbeerenstr.  
320;52.484.097;13.384.297;Kaiserkorso  
321;52.489.313;1.337.707;Katzbachstr./Kreuzbergstr.  
322;52.490.074;13.386.517;Bergmannstr.  
323;52.490.177;13.382.338;Kreuzberg/Wasserfall  
324;52.492.776;13.388.398;U Mehringdamm  
325;52.484.362;13.390.017;Columbiadamm/Platz der Luftbrücke  
326;52.536.988;13.293.667;U Jakob-Kaiser-Platz  
327;52.536.706;13.286.584;U Halemweg  
328;52.539.579;1.329.507;Weltlingerbrücke  
329;52.546.624;13.299.228;Hinckeldeybrücke  
330;52.534.953;13.298.176;Goerdelerdamm  
331;52.539.675;13.291.284;Habermannzeile  
332;52.537.109;1.329.087;Hofackerzeile  
333;52.535.151;13.289.044;Dahrendorfzeile  
334;52.539.412;1.330.214;Gloedenpfad  
335;52.538.253;13.326.351;Seestr./Beusselstr.  
336;52.546.976;13.317.799;Buchholzweg  
337;52.542.104;13.324.389;Gedenkstätte Plötzensee  
338;52.547.556;13.312.582;Friedrich-Olbricht-Damm/Saatwinkler Damm  
339;52.545.082;1.331.273;Stieffring  
340;5.253.945;13.310.115;Thaters Privatweg  
341;52.539.467;13.305.237;Kolonie Zukunft  
342;52.536.655;1.332.701;Berliner Großmarkt  
343;52.535.656;13.300.407;Reichweindamm  
344;5.254.122;13.314.973;Friedrich-Olbricht-Damm/Heckerdamm  
345;52.525.981;13.305.721;U Mierendorffplatz  
346;52.522.924;13.305.925;Quedlinburger Str.  
347;52.536.907;13.302.714;Wirmerzeile  
348;52.528.148;13.304.871;Keplerstr.  
349;52.524.473;13.279.301;Friedhöfe Fürstenbrunner Weg  
350;52.528.502;13.269.796;Rohrdammbrücke  
351;52.520.388;13.267.234;Kirschenallee  
352;52.524.829;13.245.068;Machandelweg  
353;52.520.961;13.279.936;Fürstenbrunner Weg  
354;52.519.516;13.272.233;Kastanienallee  
355;52.518.716;13.276.438;DRK-Kliniken Westend  
356;52.530.279;13.299.069;S+U Jungfernheide Bhf  
357;52.534.317;13.328.708;S Beusselstr.  
358;52.518.819;13.286.798;Sophie-Charlotten-Str.  
359;52.524.323;13.285.618;Pulsstr.  
360;52.529.411;13.296.244;Tegeler Weg/S Jungfernheide  
361;52.526.918;13.297.393;Osnabrücker Str.  
362;52.522.945;13.299.914;Schlossbrücke  
363;52.522.172;13.285.909;Mollwitzstr.  
364;52.522.842;13.288.742;Schlosspark-Klinik  
365;52.532.181;13.305.905;Goerdelersteg  
366;52.517.153;13.323.756;Marchbrücke  
367;52.513.499;13.322.644;Marchstr.  
368;52.522.047;13.328.146;Franklinstr.  
369;5.252.083;13.321.244;Helmholtzstr.  
370;52.510.974;13.297.469;U Sophie-Charlotte-Platz  
371;52.519.129;13.291.374;Klausenerplatz  
372;52.515.394;13.300.869;Haubachstr.  
373;52.511.288;13.301.602;Bismarckstr./Kaiser-Friedrich-Str.  
374;52.518.271;13.304.019;Eosanderstr.  
375;52.516.377;13.296.449;Seelingstr.  
376;52.513.371;13.296.906;Zillestr.  
377;52.519.258;1.329.596;Schloss Charlottenburg  
378;52.519.578;13.299.637;Luisenplatz/Schloss Charlottenburg  
379;52.511.831;13.309.425;U Deutsche Oper  
380;52.517.157;13.307.227;U Richard-Wagner-Platz  
381;52.518.441;13.320.274;Dovebrücke  
382;52.517.511;13.317.447;Guerickestr.  
383;52.516.214;1.331.041;Warburgzeile  
384;52.511.585;13.322.587;U Ernst-Reuter-Platz  
385;52.514.642;13.315.254;Otto-Suhr-Allee/Leibnizstr.  
386;52.505.627;13.325.736;Uhlandstr./Kantstr.  
387;52.509.046;13.326.208;Steinplatz  
388;52.507.129;13.330.436;Jebensstr.  
389;52.506.924;13.332.713;S+U Zoologischer Garten Bhf  
390;5.250.056;13.336.776;U Augsburger Str.  
391;52.503.766;13.331.424;U Kurfürstendamm  
392;52.503.934;13.337.261;Europa-Center  
393;52.505.355;13.330.809;Joachimsthaler Str./Kantstr.  
394;52.505.049;13.337.207;Breitscheidplatz  
395;52.502.746;13.326.239;U Uhlandstr.  
396;52.500.089;13.307.353;U Adenauerplatz  
397;52.500.943;13.313.004;Olivaer Platz  
398;52.500.031;13.325.465;Lietzenburger Str./Uhlandstr.  
399;5.249.956;13.312.919;Olivaer Platz Süd  
400;52.501.735;1.332.017;Bleibtreustr.  
401;52.497.913;13.324.429;Pariser Str.  
402;52.500.449;13.330.735;Friedrich-Hollaender-Platz  
403;52.505.056;13.305.218;S Charlottenburg Bhf  
404;52.501.155;13.283.042;S Westkreuz  
405;52.506.862;13.295.433;Amtsgerichtsplatz  
406;52.506.458;13.283.049;S Messe Nord/ICC  
407;52.506.784;133.025;Kaiser-Friedrich-Str./Kantstr.  
408;52.506.618;13.289.784;Kuno-Fischer-Str.  
409;52.503.222;13.307.711;Hindemithplatz  
